District Number,District Name,Total Enrollment,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total English Learner,Total English Learner Percent
775,Kerkhoven-Murdock-Sunburg,729,100,13.72%,117,16.05%,359,49.25%,370,50.75%,18,2.47%
739,Kimball Public School District,758,39,5.15%,114,15.04%,347,45.78%,411,54.22%,0,0.00%
2137,Kingsland Public School District,554,35,6.32%,86,15.52%,253,45.67%,301,54.33%,0,0.00%
2171,Kittson Central School District,230,23,10.00%,29,12.61%,108,46.96%,122,53.04%,3,1.30%
300,La Crescent-Hokah School District,1108,120,10.83%,183,16.52%,531,47.92%,577,52.08%,1,0.09%
2853,Lac Qui Parle Valley School District,804,197,24.50%,136,16.92%,384,47.76%,420,52.24%,73,9.08%
404,Lake Benton Public School District,144,8,5.56%,20,13.89%,67,46.53%,77,53.47%,0,0.00%
813,Lake City Public School District,1253,127,10.14%,186,14.84%,617,49.24%,636,50.76%,34,2.71%
2071,Lake Crystal-Wellcome Memorial,915,68,7.43%,136,14.86%,468,51.15%,447,48.85%,5,0.55%
390,Lake of the Woods School District,477,67,14.05%,59,12.37%,230,48.22%,247,51.78%,0,0.00%
2889,Lake Park Audubon School District,716,84,11.73%,116,16.20%,342,47.77%,374,52.23%,2,0.28%
381,Lake Superior Public School District,1391,64,4.60%,229,16.46%,662,47.59%,729,52.41%,0,0.00%
2167,Lakeview School District,647,68,10.51%,119,18.39%,316,48.84%,331,51.16%,13,2.01%
194,Lakeville Public School District,11204,2355,21.02%,1583,14.13%,5441,48.56%,5763,51.44%,334,2.98%
356,Lancaster Public School District,162,9,5.56%,39,24.07%,83,51.23%,79,48.77%,0,0.00%
229,Lanesboro Public School District,347,13,3.75%,40,11.53%,163,46.97%,184,53.03%,0,0.00%
306,Laporte Public School District,338,82,24.26%,69,20.41%,156,46.15%,182,53.85%,0,0.00%
2397,Le Sueur-Henderson School District,1026,250,24.37%,161,15.69%,512,49.90%,514,50.10%,52,5.07%
499,LeRoy-Ostrander Public Schools,266,27,10.15%,42,15.79%,134,50.38%,132,49.62%,4,1.50%
424,Lester Prairie Public School District,434,94,21.66%,68,15.67%,195,44.93%,239,55.07%,43,9.91%
857,Lewiston-Altura Public School District,745,88,11.81%,125,16.78%,372,49.93%,373,50.07%,10,1.34%
465,Litchfield Public School District,1578,207,13.12%,274,17.36%,756,47.91%,822,52.09%,37,2.34%
482,Little Falls Public School District,2536,295,11.63%,472,18.61%,1210,47.71%,1326,52.29%,62,2.44%
362,Littlefork-Big Falls School District,327,33,10.09%,45,13.76%,172,52.60%,155,47.40%,0,0.00%
2753,Long Prairie-Grey Eagle School District,932,472,50.64%,180,19.31%,471,50.54%,461,49.46%,226,24.25%
2184,Luverne Public School District,1270,163,12.83%,205,16.14%,609,47.95%,661,52.05%,26,2.05%
497,Lyle Public School District,284,59,20.77%,67,23.59%,121,42.61%,163,57.39%,19,6.69%
415,Lynd Public School District,180,70,38.89%,26,14.44%,78,43.33%,102,56.67%,36,20.00%
238,Mabel-Canton Public School District,275,13,4.73%,39,14.18%,130,47.27%,145,52.73%,1,0.36%
2180,M.A.C.C.R.A.Y. School District,729,122,16.74%,157,21.54%,375,51.44%,354,48.56%,10,1.37%
837,Madelia Public School District,614,295,48.05%,92,14.98%,299,48.70%,315,51.30%,118,19.22%
432,Mahnomen Public School District,642,543,84.58%,116,18.07%,308,47.98%,334,52.02%,0,0.00%
832,Mahtomedi Public School District,3342,553,16.55%,387,11.58%,1647,49.28%,1695,50.72%,50,1.50%
77,Mankato Public School District,8799,2203,25.04%,1494,16.98%,4152,47.19%,4647,52.81%,514,5.84%
881,Maple Lake Public School District,850,38,4.47%,176,20.71%,413,48.59%,437,51.41%,5,0.59%
2135,Maple River School District,904,73,8.08%,153,16.92%,435,48.12%,469,51.88%,0,0.00%
441,Marshall County Central Schools,427,18,4.22%,56,13.11%,221,51.76%,206,48.24%,0,0.00%
413,Marshall Public School District,2625,1007,38.36%,429,16.34%,1242,47.31%,1383,52.69%,400,15.24%
2448,Martin County West School District,726,68,9.37%,109,15.01%,351,48.35%,375,51.65%,0,0.00%
4,McGregor Public School District,480,123,25.63%,132,27.50%,226,47.08%,254,52.92%,0,0.00%
763,Medford Public School District,891,191,21.44%,121,13.58%,457,51.29%,434,48.71%,25,2.81%
740,Melrose Public School District,1331,395,29.68%,193,14.50%,645,48.46%,686,51.54%,197,14.80%
821,Menahga Public School District,1039,48,4.62%,178,17.13%,541,52.07%,498,47.93%,4,0.38%
2711,Mesabi East School District,1000,85,8.50%,202,20.20%,488,48.80%,512,51.20%,0,0.00%
912,Milaca Public School District,1812,132,7.28%,411,22.68%,866,47.79%,946,52.21%,4,0.22%
635,Milroy Public School District,37,0,0.00%,0,0.00%,20,54.05%,17,45.95%,0,0.00%
1,Minneapolis Public School District,35580,23002,64.65%,6054,17.02%,17310,48.65%,18270,51.35%,7301,20.52%
414,Minneota Public School District,530,55,10.38%,78,14.72%,239,45.09%,291,54.91%,21,3.96%
276,Minnetonka Public School District,10970,1837,16.75%,1299,11.84%,5399,49.22%,5571,50.78%,172,1.57%
2149,Minnewaska School District,1304,98,7.52%,288,22.09%,579,44.40%,725,55.60%,6,0.46%
129,Montevideo Public School District,1409,374,26.54%,294,20.87%,669,47.48%,740,52.52%,133,9.44%
882,Monticello Public School District,4125,615,14.91%,603,14.62%,1977,47.93%,2148,52.07%,96,2.33%
152,Moorhead Public School District,7027,2031,28.90%,1316,18.73%,3409,48.51%,3618,51.49%,590,8.40%
97,Moose Lake Public School District,655,49,7.48%,91,13.89%,321,49.01%,334,50.99%,2,0.31%
332,Mora Public School District,1643,142,8.64%,289,17.59%,802,48.81%,841,51.19%,2,0.12%
2769,Morris Area Public Schools,1045,210,20.10%,172,16.46%,493,47.18%,552,52.82%,62,5.93%
621,Mounds View Public School District,11957,4524,37.84%,1551,12.97%,5708,47.74%,6249,52.26%,642,5.37%
712,Mountain Iron-Buhl School District,536,92,17.16%,76,14.18%,226,42.16%,310,57.84%,0,0.00%
173,Mountain Lake Public Schools,516,217,42.05%,93,18.02%,250,48.45%,266,51.55%,56,10.85%
2169,Murray County Central School District,747,40,5.35%,120,16.06%,371,49.67%,376,50.33%,4,0.54%
319,Nashwauk-Keewatin School District,610,77,12.62%,140,22.95%,286,46.89%,324,53.11%,0,0.00%
707,Nett Lake Public School District,57,57,100.00%,19,33.33%,25,43.86%,32,56.14%,0,0.00%
308,Nevis Public School District,626,69,11.02%,127,20.29%,315,50.32%,311,49.68%,0,0.00%
345,New London-Spicer School District,1556,135,8.68%,226,14.52%,730,46.92%,826,53.08%,31,1.99%
721,New Prague Area Schools,4276,302,7.06%,572,13.38%,2091,48.90%,2185,51.10%,25,0.58%
88,New Ulm Public School District,2091,187,8.94%,380,18.17%,977,46.72%,1114,53.28%,16,0.77%
553,New York Mills Public School District,744,41,5.51%,117,15.73%,352,47.31%,392,52.69%,0,0.00%
507,Nicollet Public School District,391,38,9.72%,66,16.88%,209,53.45%,182,46.55%,1,0.26%
2215,Norman County East School District,258,50,19.38%,49,18.99%,113,43.80%,145,56.20%,3,1.16%
2527,Norman County West School District,83,20,24.10%,12,14.46%,42,50.60%,41,49.40%,6,7.23%
138,North Branch Public Schools,2731,315,11.53%,414,15.16%,1326,48.55%,1405,51.45%,50,1.83%
622,North St. Paul-Maplewood-Oakdale School District,10808,6896,63.80%,1885,17.44%,5294,48.98%,5514,51.02%,1328,12.29%
659,Northfield Public School District,4067,863,21.22%,603,14.83%,2019,49.64%,2048,50.36%,252,6.20%
118,Northland Community Schools,360,153,42.50%,71,19.72%,190,52.78%,170,47.22%,0,0.00%
2168,NRHEG School District,899,71,7.90%,134,14.91%,443,49.28%,456,50.72%,3,0.33%
333,Ogilvie Public School District,510,11,2.16%,110,21.57%,258,50.59%,252,49.41%,0,0.00%
480,Onamia Public School District,646,381,58.98%,220,34.06%,288,44.58%,358,55.42%,0,0.00%
278,Orono Public School District,2885,312,10.81%,373,12.93%,1357,47.04%,1528,52.96%,35,1.21%
2903,Ortonville Public Schools,523,50,9.56%,107,20.46%,247,47.23%,276,52.77%,10,1.91%
213,Osakis Public School District,846,40,4.73%,146,17.26%,423,50.00%,423,50.00%,1,0.12%
279,Osseo Public School District,21472,12310,57.33%,3010,14.02%,10440,48.62%,11032,51.38%,2248,10.47%
761,Owatonna Public School District,5092,1404,27.57%,829,16.28%,2513,49.35%,2579,50.65%,426,8.37%
309,Park Rapids Public School District,1739,280,16.10%,339,19.49%,892,51.29%,847,48.71%,37,2.13%
547,Parkers Prairie Public School District,552,23,4.17%,86,15.58%,262,47.46%,290,52.54%,0,0.00%
741,Paynesville Public School District,928,59,6.36%,162,17.46%,474,51.08%,454,48.92%,7,0.75%
548,Pelican Rapids Public School District,890,418,46.97%,121,13.60%,455,51.12%,435,48.88%,173,19.44%
186,Pequot Lakes Public Schools,1747,77,4.41%,230,13.17%,820,46.94%,927,53.06%,2,0.11%
549,Perham-Dent Public School District,1527,282,18.47%,265,17.35%,722,47.28%,805,52.72%,68,4.45%
484,Perz Public School District,1195,38,3.18%,158,13.22%,559,46.78%,636,53.22%,9,0.75%
116,Pillager Public School District,1164,59,5.07%,214,18.38%,559,48.02%,605,51.98%,1,0.09%
578,Pine City Public School District,1594,157,9.85%,180,11.29%,762,47.80%,832,52.20%,6,0.38%
255,Pine Island Public School District,1358,102,7.51%,162,11.93%,637,46.91%,721,53.09%,0,0.00%
25,Pine Point Public School District,59,59,100.00%,16,27.12%,35,59.32%,24,40.68%,0,0.00%
2174,Pine River-Backus Public School District,944,49,5.19%,209,22.14%,468,49.58%,476,50.42%,3,0.32%
2689,Pipestone Area School District,1146,281,24.52%,171,14.92%,539,47.03%,607,52.97%,78,6.81%
2899,Plainview-Elgin-Millville,1512,182,12.04%,216,14.29%,739,48.88%,773,51.12%,40,2.65%
477,Princeton Public School District,3453,254,7.36%,502,14.54%,1672,48.42%,1781,51.58%,17,0.49%
719,Prior Lake-Savage Area Schools,8931,1762,19.73%,1088,12.18%,4426,49.56%,4505,50.44%,256,2.87%
704,Proctor Public School District,1804,159,8.81%,335,18.57%,824,45.68%,980,54.32%,1,0.06%
195,Randolph Public School District,684,35,5.12%,105,15.35%,317,46.35%,367,53.65%,0,0.00%
2906,Red Lake County Central Public Schools,400,41,10.25%,51,12.75%,190,47.50%,210,52.50%,1,0.25%
630,Red Lake Falls Public School District,370,39,10.54%,43,11.62%,182,49.19%,188,50.81%,1,0.27%
38,Red Lake Public School District,1497,1497,100.00%,301,20.11%,709,47.36%,788,52.64%,0,0.00%
2884,Red Rock Central School District,458,34,7.42%,66,14.41%,212,46.29%,246,53.71%,0,0.00%
256,Red Wing Public School District,2667,649,24.33%,462,17.32%,1325,49.68%,1342,50.32%,51,1.91%
2897,Redwood Area School District,1137,409,35.97%,237,20.84%,533,46.88%,604,53.12%,11,0.97%
2890,Renville County West School District,588,214,36.39%,106,18.03%,304,51.70%,284,48.30%,116,19.73%
280,Richfield Public School District,4319,3081,71.34%,709,16.42%,2055,47.58%,2264,52.42%,1087,25.17%
281,Robbinsdale Public School District,12546,7643,60.92%,1827,14.56%,6158,49.08%,6388,50.92%,1269,10.11%
535,Rochester Public School District,18015,7350,40.80%,3098,17.20%,8730,48.46%,9285,51.54%,1879,10.43%
883,Rockford Public School District,1634,301,18.42%,211,12.91%,784,47.98%,850,52.02%,81,4.96%
750,ROCORI Public School District,2135,292,13.68%,252,11.80%,1030,48.24%,1105,51.76%,125,5.85%
682,Roseau Public School District,1183,74,6.26%,179,15.13%,574,48.52%,609,51.48%,4,0.34%
196,Rosemount-Apple Valley-Eagan,28997,10817,37.30%,4463,15.39%,14055,48.47%,14942,51.53%,2018,6.96%
623,Roseville Public School District,7655,4313,56.34%,1087,14.20%,3734,48.78%,3921,51.22%,1133,14.80%
850,Rothsay Public School District,304,22,7.24%,38,12.50%,142,46.71%,162,53.29%,0,0.00%
2907,Round Lake-Brewster Public Schools,342,253,73.98%,20,5.85%,183,53.51%,159,46.49%,105,30.70%
485,Royalton Public School District,954,62,6.50%,147,15.41%,449,47.06%,505,52.94%,0,0.00%
2902,RTR Public Schools,589,36,6.11%,63,10.70%,282,47.88%,307,52.12%,5,0.85%
139,Rush City Public School District,848,78,9.20%,103,12.15%,411,48.47%,437,51.53%,4,0.47%
239,Rushford-Peterson Public Schools,697,38,5.45%,74,10.62%,323,46.34%,374,53.66%,11,1.58%
748,Sartell-St. Stephen School District,4074,376,9.23%,653,16.03%,2019,49.56%,2055,50.44%,42,1.03%
743,Sauk Centre Public School District,1098,120,10.93%,186,16.94%,560,51.00%,538,49.00%,49,4.46%
47,Sauk Rapids-Rice Public Schools,4647,638,13.73%,863,18.57%,2298,49.45%,2349,50.55%,40,0.86%
820,Sebeka Public School District,496,30,6.05%,102,20.56%,253,51.01%,243,48.99%,0,0.00%
720,Shakopee Public School District,8319,3542,42.58%,1292,15.53%,4038,48.54%,4281,51.46%,974,11.71%
2310,Sibley East School District,1150,418,36.35%,188,16.35%,540,46.96%,610,53.04%,141,12.26%
